Text,Department,Urgency
Hi there... *cough* the cough syrup prescribed isn't... um... working at all. Need something stronger,Pharmacy,Low
Yes... need to know why my inhaler refill was... uh... denied by insurance,Pharmacy,Low
Hello... want to complain about a rude staff member in the... um... pharmacy department,Pharmacy,Medium
Hi... missed my shingles vaccine appointment and... uh... need to reschedule,Reception,Medium
Hello... the pharmacy substituted my medication without... um... telling me. Is this allowed?,Pharmacy,Low
Yes...  my child's antibiotic tastes different and... uh... they won't take it,Pharmacy,High
Hi there... need to get my travel vaccines but... um... unsure which ones I need,Reception,Medium
Hello... third time my heart medication refill has been... uh... delayed. This is serious,Pharmacy,High
Um... having trouble affording my prescriptions and... uh... need to know about assistance programs,Pharmacy,Low
Hi... wanted to report that the pharmacy gave me... um... someone else's prescription yesterday,Pharmacy,High
Yes... need to schedule vaccines for my newborn but... uh... the online system isn't working,Reception,High
Hello... *worried* my blood pressure medication looks different... um... need to verify it's correct,Pharmacy,Low
Hi there... having an allergic reaction to my new... uh... antibiotic. Need advice,Pharmacy,High
Yes... need to complain about wait times at the... um... vaccination clinic last week,Reception,Low
Hello... my pain medication dosage seems wrong and... uh... no one's helping me verify,Pharmacy,High
Hi... trying to get my COVID vaccine record but... um... can't find it in the system,Reception,Low
Um... pharmacy keeps saying they're out of my... uh... seizure medication. This is serious,Pharmacy,High
Yes... need to know if you offer the meningitis vaccine for... um... college requirements,Reception,Low
Hello... *sigh* my insurance changed and now my... uh... medications are all denied,Pharmacy,Medium
Hi there... got double-charged for my prescriptions and... um... need this fixed,Pharmacy,Low
Yes... need to report side effects from my... uh... new cholesterol medication,Pharmacy,Low
Hello... want to schedule all my kid's vaccines but... um... need a list of what's due,Reception,Low
Hi... the pharmacy's phone system keeps hanging up after... uh... hour-long holds,Pharmacy,Medium
Um... need to know if you have the new COVID variant vaccine... uh... available yet,Reception,High
Yes... *frustrated* my prescription was sent to wrong pharmacy... um... third time this month,Pharmacy,High
Hello... having trouble getting my hormone replacement... uh... therapy refilled,Pharmacy,Low
Hi there... need to report that my medication instructions are... um... different from what Doctors said,Pharmacy,High
Yes... want to schedule HPV vaccine series but... uh... need insurance coverage info first,Reception,Medium
Hello... my medication has been out of stock for... um... two weeks now. What can I do?,Pharmacy,Low
Hi there... pharmacy keeps saying my prescription expired but... um... Doctors just renewed it,Pharmacy,High
Hello... need to know if I can get both flu and COVID shots... uh... at the same time,Reception,Low
Yes... *anxious* my medication looks completely different and... um... I'm scared to take it,Pharmacy,Medium
Um... trying to schedule my child's booster shots but... uh... keep getting disconnected,Reception,Medium
Hello... need to dispute a charge for medication that... um... I never received,Pharmacy,Low
Hi... um... I've been having these weird dizzy spells when I stand up and... uh... almost fainted twice today. Should I be concerned?,Reception,Medium
Hello... been having trouble sleeping for like... uh... three weeks now. Need to see if I can get some help,Reception,High
Yes... *cough* *wheeze* my asthma's getting worse with this weather change and... um... need to see someone,Reception,Low
Hi there... noticed some unusual lumps in my neck and... uh... getting kind of worried. Can I get checked?,Reception,High
Hello... trying to get my medical records for... um... a specialist appointment next week,Pharmacy,High
Um... got my blood test results online and there's this... uh... red flag thing? Really worried,Pharmacy,Medium
Hi... need to check if my... um... diabetes test results are ready? Doctors said it was urgent,Pharmacy,High
Hello... can I get a copy of my... uh... recent EKG results? My cardiologist needs them,Pharmacy,High
Dr. Chang here... need immediate consultation on a patient's... um... concerning brain scan results. Urgent,Doctors,High
"Yes, Dr. Peterson calling about a patient showing signs of... uh... sepsis. Need immediate input",Doctors,High
"Hi, this is Dr. Murphy... have a pregnant patient with... um... preeclampsia symptoms. Need to discuss care plan",Doctors,Medium
Hello... my new blood pressure medication is making me feel... uh... really weird and dizzy. Should I stop taking it?,Pharmacy,High
Hi there... need to check if my pain medication was... um... approved by insurance yet? Running really low,Pharmacy,High
Yes... *sniff* think I'm having an allergic reaction to my new... uh... antibiotics. Getting hives,Pharmacy,High
Hi... *gasping* severe chest pain and... um... left arm numbness. Coming to Emergency now!,Emergency,High
Hello... my son just had a... uh... really bad allergic reaction to peanuts. On our way in!,Emergency,High
Hi there... started coughing up blood and... um... can't catch my breath. Should I come in?,Emergency,Low
Um... having severe lower back pain and... uh... can't feel my legs properly. Getting scared,Reception,Medium
Hello... need to get my annual mammogram... uh... scheduled. No rush,Reception,Medium
Hi... been having these cluster headaches and... um... regular pain meds aren't helping anymore,Reception,High
Yes... need to get my test results for my... uh... thyroid function. Doctors said to follow up,Pharmacy,High
Hi there... my glucose monitoring results are showing... um... really high numbers. Need advice,Pharmacy,High
Hello... Dr. Ross here. Patient showing symptoms of... uh... possible meningitis. Need immediate consult,Doctors,High
Hi... my antidepressant prescription needs... um... urgent refill. Running out tomorrow,Pharmacy,High
Hello... *crying* my husband collapsed and isn't... uh... responding properly. Calling ambulance now!,Emergency,High
Hi... experiencing severe abdominal pain after... um... recent surgery. Need to know if I should come in,Emergency,High
Hello... need to report some concerning side effects from... uh... my new heart medication,Pharmacy,High
Yes... got my lab results and my potassium is... um... really low. Doctors said to call immediately,Pharmacy,High
Hi there... having trouble breathing and... uh... chest tightness after starting new medication,Emergency,High
Hello... Dr. Wilson here about a patient with... um... acute kidney failure. Need immediate consultation,Doctors,High
Hi... experiencing numbness in my face and... um... slurred speech. Should I come to Emergency?,Emergency,High
Hello... lab results showing possible... uh... liver problems. Need to speak with someone urgently,Pharmacy,High
Yes... Dr. Adams here about a critical... um... patient transfer request. Need immediate response,Doctors,High
Hi there... having severe allergic reaction to... uh... new antibiotics. Face is swelling,Emergency,High
Hello... need urgent consultation about... um... abnormal heartbeating.. help me,Doctors,Medium
Hi... um... there's a leak in the ceiling of the waiting room on floor 3 and... uh... water is dripping on patients,Reception,Medium
Hello... your parking garage payment machine is... um... not working and my car is stuck,Reception,High
Yes... need to report that the... uh... wheelchair assistance never showed up for my mother's appointment,Reception,Low
Hi there... the cafeteria served me... um... spoiled food yesterday. Need to report this,Reception,Low
Hello... your hospital website isn't letting me... uh... pay my bill online. Been trying for days,Reception,Medium
Hi... the vending machine on floor 4 took my... um... money but didn't give me anything,Reception,Low
Um... the bathroom near radiology is... uh... completely out of order and creating problems,Reception,Medium
Hi there... your TV in room 302 has been... um... blasting static all night. Nobody's fixing it,Reception,High
Hello... need to complain about a... uh... security guard who was extremely rude to my elderly father,Reception,Low
Yes... the translation services you provided were... um... completely incorrect. This is serious,Reception,Medium
Hi... your billing department keeps... uh... sending bills to my old address despite updates,Reception,High
Hello... the visitor parking is... um... completely full and I missed my appointment,Reception,Low
Hi there... the heating in the waiting room is... uh... not working and elderly patients are freezing,Reception,Medium
Yes... your hospital map is... um... really confusing and made me late to my appointment,Reception,Medium
Hello... there's no cell phone reception in... uh... most of the building. It's a safety issue,Reception,Low
Hi... the chairs in chemotherapy unit are... um... broken and uncomfortable for long sessions,Reception,Low
Um... your WiFi password given at reception... uh... doesn't work anywhere in the hospital,Reception,Low
Hi there... the snack bar prices are... um... way higher than listed on the menu,Reception,High
Hello... your patient portal keeps... uh... logging me out while I'm filling forms,Reception,Medium
Yes... the elevator on the east wing has been... um... out of order for two weeks now,Reception,High
Hi... trying to get an itemized bill but... uh... nobody returns my calls,Reception,High
Hello... the lighting in the parking garage is... uh... out and it feels unsafe at night,Reception,Medium
Hi there... your hand sanitizer stations are all... um... empty on the second floor,Reception,Low
Yes... the air conditioning in the lab waiting area is... uh... making people uncomfortable,Reception,High
Um... need to report that the coffee shop is... uh... charging for water which should be free,Reception,Medium
Hello... the automatic doors at the main entrance are... uh... not working properly,Reception,High
Hi... your phone system keeps... um... disconnecting me after 20 minutes on hold,Reception,Medium
Yes... the signs to the Emergency room are... uh... covered by trees. Could cause problems,Reception,Medium
Hi there... the patient discharge area has no... um... protection from rain or weather,Reception,High
Hello... your online appointment system double-booked my... uh... slot three times now,Reception,Medium
Hi... the handicap parking spots are being used by... um... staff vehicles regularly,Reception,Low
Yes... the cleaning staff is... uh... extremely loud during overnight hours,Reception,Medium
Hello... your billing statements are... um... impossible to understand. Need simpler format,Reception,High
Hi there... the patient transport teams are... uh... consistently late to appointments,Reception,High
Um... the café is serving... uh... expired food items. Found mold on my sandwich,Reception,Low
Yes... your insurance verification system is... um... showing wrong coverage information,Reception,Medium
Hello... the volunteer at the information desk gave... uh... completely wrong directions,Reception,Low
Hi... the parking validation machine ate my... um... ticket and now I can't leave,Reception,High
Yes... your gift shop is... uh... charging double the retail prices for basic items,Reception,Low
Hi there... the public restrooms are... um... constantly out of toilet paper and soap,Reception,Medium
Hello... your patient feedback system is... uh... not recording any of my submitted forms,Reception,Low
Hi... the cafeteria's credit card machine has been... um... down for three days,Reception,Low
Yes... your appointment reminder system sent me... uh... fifteen texts in one hour,Reception,High
Hi there... the hospital's mobile app keeps... um... crashing when trying to view test results,Reception,Medium
Hello... the parking garage security cameras are... uh... not working according to guard,Reception,High
"Hi, this is Margaret Wilson... um... your discharge paperwork has my wrong insurance details and... uh... it's causing billing issues",Reception,Medium
Hello... there's been no hot water in the... uh... third floor visitor bathrooms all week,Reception,High
"Yes, John Baker here... trying to get my mother's records and... um... nobody seems to know where they are",Reception,Medium
Hi... the sliding doors at the cancer center entrance are... uh... stopping halfway and trapping people,Reception,Medium
This is Dr. Chen's nurse Sarah... your fax system isn't... um... receiving our referral forms,Reception,High
"Hello, Emma Thompson calling about... uh... incorrect charges on my hospital bill from last month",Reception,High
Hi there... your handicap entrance ramp is... um... way too steep for wheelchairs,Reception,Low
"Yes, Robert Martinez here... the pharmacy keeps... uh... mixing up my dad's prescriptions with someone else's",Pharmacy,High
Um... calling because the hospital directory... uh... lists wrong clinic hours,Reception,Medium
"Hello, Susan Chang... your online bill pay system charged my card... um... three times for one payment",Reception,High
Hi there... the MRI department staff are... uh... extremely rude to elderly patients,Reception,High
"Yes, this is nurse Jessica from Dr. Park's office... your referral line has been... um... down all morning",Reception,Low
Hello... the parking garage elevator has been... uh... stuck on the 4th floor all day,Reception,High
Michael Brown here... your appointment reminder system sent notices to... um... my old phone number despite updates,Reception,High
Hi... there's a strong sewage smell near the... uh... cafeteria entrance,Reception,Medium
This is Mrs. Anderson... the hospital beds in room 405 have... um... broken call buttons,Reception,High
Hello... your website's appointment booking system... uh... keeps crashing during payment,Reception,Low
"Yes, David Wilson calling... the pharmacy gave me... um... someone else's medication paperwork",Pharmacy,High
Hi there... the vending machine in the ER waiting room... uh... took my money three times,Reception,High
Tom from maintenance... the backup generators didn't... um... kick in during the power flicker,Reception,Medium
"Hello, Lisa Chen here... the interpreter service you provided was... um... speaking the wrong dialect",Reception,High
Hi... your parking validation system has charged me... uh... double the normal rate,Reception,High
"Yes, this is Patricia from accounting... your billing codes are... um... completely wrong for our insurance",Reception,Medium
Hello... the cafeteria is serving... uh... expired dairy products,Reception,Low
James Wilson here... your patient transport team left my mother... um... waiting for two hours,Reception,High
Hi... um... need to know if I can visit my mother outside regular hours since I... uh... work night shifts,Reception,High
Hello... wheelchair access to the new wing is... um... blocked by construction. Had to go around entire building,Reception,Low
Yes... lost my pain medication prescription somewhere between... uh... the Doctors's office and pharmacy,Pharmacy,Medium
Hi there... need clarification on my... um... payment plan options. The bill is really confusing,Reception,Medium
Hello... trying to reschedule my follow-up but the... uh... online system won't let me,Reception,High
Hi... need access to my daughter's records but... um... having trouble with the authorization forms,Reception,Medium
Um... my insurance says I need to get... uh... prior authorization for my refill,Pharmacy,Medium
Yes... visiting hours for ICU are... um... not clearly posted and security gave different times,Reception,Medium
Hello... need to know if I can get a... uh... longer prescription supply before my vacation,Pharmacy,Low
Hi there... trying to set up a payment plan but... uh... nobody returns my calls,Reception,High
Um... need clarification about weekend visiting hours for... uh... maternity ward,Reception,High
Yes... the ramp to the specialist wing is too... um... steep for my motorized wheelchair,Reception,Medium
Hello... lost my prescription during the move and... uh... need it replaced urgently,Pharmacy,Medium
Hi... need to reschedule my procedure but the... um... cancellation fee seems incorrect,Reception,Medium
Yes... trying to get access to my mom's medical records with... uh... power of attorney,Reception,Low
Hello... pharmacy keeps saying refill is too early but... um... I'm going on extended travel,Pharmacy,Medium
Hi there... need clarification on my... uh... copay for physical therapy sessions,Reception,High
Um... follow-up appointment was scheduled during... uh... holiday closure. Need to change it,Reception,High
Yes... need special access hours to visit my... um... husband who's in critical care,Reception,Low
Hello... prescription shows different dosage than what... uh... Doctors discussed with me,Pharmacy,Medium
Hi... need to change all my appointments to... um... evening hours due to new job,Reception,Low
Yes... automatic refill program isn't... uh... working properly for my monthly medications,Pharmacy,Medium
Hello... need clarification about visitor policy for... uh... children under 12,Reception,High
Hi there... wheelchair service wasn't available at my... um... last three appointments,Reception,High
Um... trying to get Emergency prescription refill but... uh... regular pharmacy is closed,Pharmacy,Medium
Yes... payment was applied to wrong account and now... um... getting collection notices,Reception,Medium
Hello... need after-hours building access for my... uh... late radiation treatments,Reception,Medium
Hi... prescription discount card was... um... rejected after working last month,Pharmacy,Low
Yes... follow-up appointments keep getting... uh... scheduled at different locations,Reception,Low
Hello... need clarification on family visiting hours during... um... COVID protocols,Reception,High
Hi there... requesting access to medical records from... uh... my past surgeries,Reception,Medium
Um... lost prescription for controlled substance and... uh... pharmacy says they can't replace it,Pharmacy,High
Yes... need to discuss payment plan options for my... um... upcoming procedure,Reception,Medium
Hello... specialist referral expired and need... uh... urgent renewal,Reception,Medium
Hi... need to reschedule several appointments due to... um... family Emergency,Reception,Low
Hello... visiting pass system isn't... uh... recognizing my approved extended hours,Reception,Medium
Hi there... need clarification about medication... um... pickup times during holidays,Pharmacy,High
Yes... trying to coordinate multiple follow-ups but... uh... getting conflicting times,Reception,Medium
Um... insurance requirement changed and need... uh... new prior authorization,Pharmacy,Medium
Hello... payment portal showing different amount than... um... what I was quoted,Reception,High
Hi... um... need to know if your COVID guidelines still require... uh... testing before surgery,Reception,Low
Hello... lost my wedding ring during... uh... my MRI appointment yesterday. Really need help finding it,Reception,Low
Yes... want to make a donation in memory of... um... my mother who was treated here last month,Reception,High
Hi there... need to cancel my... uh... therapy session tomorrow but can't reach my counselor,Reception,Low
Hello... confused about the dosage instructions for... um... my new medication post-surgery,Pharmacy,Medium
Hi... trying to pay my bill online but the... uh... payment system keeps showing an error,Reception,Medium
Um... need to know what prep is required for my... uh... colonoscopy next week,Reception,Low
"Hello... can't access my COVID vaccination records for... uh... travel requirements, please get back in this number",Reception,Medium
Hi... interested in joining your... um... diabetes management support group,Reception,Low
Yes... need a cost estimate for my upcoming... uh... gallbladder surgery for insurance,Reception,Low
Hi there... left my phone in the... um... CT scan waiting room yesterday,Reception,Low
Hello... want to donate some medical supplies but... uh... not sure what you accept,Reception,High
Yes... need to reschedule my grief counseling... um... session for next week,Reception,Medium
Hi... the online portal shows different dosage instructions than... uh... what my Doctors said,Pharmacy,Low
Um... need clarification on your current... uh... COVID visitor policy,Reception,Medium
Hello... wondering if your community health fair is... uh... happening this year,Reception,Low
Hi there... lost my vaccination card and need... um... a replacement for work,Reception,Medium
Yes... trying to get a price estimate for... uh... physical therapy sessions,Reception,Low
Hello... need to prepare for blood work but... uh... forgot the fasting instructions,Pharmacy,Medium
Hi... want to cancel my counseling appointment but... uh... keep getting voicemail,Reception,Low
Um... need to know if you still require... uh... masks in the outpatient areas,Reception,Low
Hello... left my glasses somewhere in... uh... the cardiology department yesterday,Reception,Medium
Hi there... interested in donating to the... um... children's wing renovation project,Reception,Low
Yes... need help understanding my... uh... payment plan options for surgery,Reception,Medium
Hello... want to join your... um... new mothers support group,Reception,High
Hi... confused about the prep instructions for my... uh... stress test tomorrow,Reception,Medium
Um... lost my prescription in the... uh... hospital parking lot yesterday,Pharmacy,Low
Hello... need to cancel my post-surgery... um... follow-up appointment,Reception,Low
Hi there... trying to find my son's... uh... retainer left in the cafeteria,Reception,Medium
Yes... want information about your... um... mental health awareness programs,Reception,Medium
"Hi... need help accessing my COVID test results on the... uh... patient portal, site shows some glitches",Reception,Medium
Hello... lost my appointment reminder card with... um... all my pre-surgery instructions,Reception,Low
Yes... trying to find out if you offer... uh... payment assistance programs,Reception,Medium
Hi there... need to know vaccination requirements for... um... volunteering in pediatrics,Reception,Low
Hello... looking for my daughter's stuffed animal left in... uh... Emergency last night,Reception,Medium
Hi... um... trying to set up the virtual consultation app but... uh... keeps saying my camera isn't working,Reception,High
Hello... missed my online therapy session because... um... the link wasn't working. Need to reschedule,Reception,Low
Yes... need clarification about my... uh... post-stroke exercise regime. Some movements hurt,Reception,High
Hi there... having trouble joining the... um... online diabetes support group meeting. Need help,Reception,High
Hello... need a medical certificate for my... uh... extended sick leave. It's urgent for work,Reception,Low
Hi... confused about the fasting instructions for... um... my surgery next week. Need clarification,Reception,Low
Um... wanting to know if the... uh... breast cancer support group still meets on Thursdays,Reception,Medium
Hi there... need to register for the... uh... upcoming health camp for senior citizens,Reception,Low
Hello... my virtual Doctors said to do these exercises but... um... I'm not sure I'm doing them right,Reception,Medium
Yes... need information about the... uh... weight management support group schedule,Reception,Medium
Hi... the pre-surgery instruction video link is... um... not working on your website,Reception,Medium
Hello... having connectivity issues during my... uh... virtual physical therapy sessions,Reception,Low
Hi there... need a medical certificate for my... um... insurance claim from last month's visit,Reception,Medium
Yes... wondering if there's a... uh... support group for new mothers in the hospital,Reception,Medium
Hello... need help with the rehabilitation exercises for my... um... frozen shoulder. Videos aren't clear,Reception,Low
Hi... the virtual consultation waiting room has had me... uh... waiting for over an hour,Reception,High
Um... need to know what to bring to the... uh... health screening camp tomorrow,Reception,Low
Hi there... my post-surgery exercise plan is... um... too intense. Need to modify it,Reception,High
Hello... the grief counseling support group link... uh... isn't working properly,Reception,Medium
Yes... need clarification about my... um... pre-surgery medication instructions,Reception,Medium
Hi... the online physical therapy session keeps... uh... freezing during demonstrations,Reception,High
Hello... need to know if I can get a... um... medical certificate retroactively for last week,Reception,Low
Hi there... having trouble following the... uh... cardiac rehabilitation home program,Reception,Low
Yes... need to register for the... um... diabetes management virtual workshop,Reception,High
Um... the mindfulness support group meeting password isn't... uh... working for me,Reception,Medium
Hello... my virtual consultation got disconnected and... uh... I still need my prescription,Reception,Low
Hi... need help understanding these... um... pre-surgery skin preparation instructions,Reception,Medium
Yes... wondering if the arthritis support group has... uh... both online and in-person options,Reception,High
Hi there... having trouble with the exercises in my... um... back pain rehabilitation program,Reception,High
Hello... need a medical certificate stating I can... uh... return to work after COVID,Reception,High
Hi... the dietary instructions for pre-surgery are... uh... conflicting with my diabetes diet,Reception,Low
Um... missed my virtual consultation because of... uh... technical issues. Need urgent reschedule,Reception,High
Yes... need help setting up my phone for the... uh... teletherapy session tomorrow,Reception,Low
Hello... the cardiac rehabilitation exercises seem too... um... advanced for my condition,Reception,High
Hi there... need to know if the mental health support group is... uh... still meeting virtually,Reception,Low
Yes... having trouble with the breathing exercises from my... um... pulmonary rehabilitation,Reception,Low
Hello... need clarification about joining the... uh... cancer survivors support network,Reception,Medium
Hi... the pre-surgery anxiety management video isn't... uh... playing on my device,Reception,Medium
Um... need help with the virtual check-in process for my... uh... follow-up consultation,Reception,Low
Yes... the physical therapy home exercise videos are... uh... not downloading properly,Reception,Low
Hi... need a medical certificate for my... um... gym program clearance after surgery,Reception,Medium
Hello... the stress management support group schedule is... uh... different from what was sent,Reception,High
Yes... having trouble understanding the... um... pre-surgery bathing protocol,Reception,Low
Hi there... the virtual rehabilitation assessment link isn't... uh... working properly,Reception,High
Um... need information about the upcoming... uh... community health screening camp,Reception,Low
